name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
opt_sgd_momentum,16,0,0.3,0.0,0.0,10,32,0.001,sgd_momentum,mse,21,10,0.017767760815854083,0.011959012217745814,-0.017594058791524203,0.4912959381044487,3089,0.9809876084327698,0.42376428842544556,17.993043899536133,1d
opt_adamw,16,0,0.3,0.0,0.0,10,32,0.001,adamw,mse,30,10,0.018145374288152438,0.012397484144731153,-0.06130699347377577,0.4835589941972921,3089,0.821794867515564,0.4501859247684479,22.999927520751953,1d
loss_huber,16,0,0.3,0.0,0.0,10,32,0.001,adam,huber,13,10,0.01774014716273703,0.011875243441439583,-0.014433541906746727,0.5551257253384912,3089,0.3554132282733917,0.20056107640266418,13.742581367492676,1d
loss_mae,16,0,0.3,0.0,0.0,10,32,0.001,adam,mae,22,10,0.018244995359032734,0.012481598986139288,-0.07299248102783196,0.4990328820116054,3089,0.6652215123176575,0.5102006793022156,20.127191305160522,1d
combo_small_reg,8,0,0.2,0.1,0.0001,10,32,0.001,adam,mse,22,10,0.018221760890644575,0.012394004856134403,-0.07026137199582694,0.4816247582205029,1289,0.9330952167510986,0.4400273561477661,26.070433378219604,1d
combo_med_reg,32,0,0.4,0.2,0.0001,10,32,0.001,adam,mse,13,10,0.017931096180945863,0.01230566002805852,-0.036389118206619386,0.5183752417794971,8225,0.9435688257217407,0.4542519748210907,18.17503571510315,1d
combo_2c_reg,32,16,0.4,0.2,0.0001,10,32,0.001,adam,mse,14,10,0.01777010704395291,0.011807283510370283,-0.01786282258608085,0.48936170212765956,11345,0.9859713912010193,0.4411149322986603,31.328243494033813,1d
combo_long_seq,32,0,0.3,0.0,0.0,30,32,0.001,adam,mse,16,10,0.017585207475683515,0.011740234145354734,0.003208886720625248,0.5125725338491296,8225,0.9034312963485718,0.44218775629997253,23.213228940963745,1d
combo_huber_drop,16,0,0.5,0.0,0.0,10,32,0.001,adam,huber,20,10,0.017781429329421325,0.01192259771816603,-0.019160305472904593,0.4835589941972921,3089,0.35360386967658997,0.20083147287368774,18.178495407104492,1d
combo_lr_low_long,16,0,0.3,0.0,0.0,10,32,0.0001,adam,mse,104,20,0.017716532214747182,0.011727888904365292,-0.01173459576710334,0.5454545454545454,3089,0.9870613813400269,0.430060476064682,71.3697919845581,1d
combo_big_strong_reg,64,0,0.5,0.3,0.001,10,32,0.001,adam,mse,13,10,0.017879436381740364,0.012026209952537269,-0.030426010444535745,0.4874274661508704,24641,0.9887824058532715,0.49052613973617554,20.609750986099243,1d
combo_seq20_units32,32,0,0.3,0.0,0.0,20,32,0.001,adam,mse,18,10,0.018236903215413006,0.01244041454163909,-0.0720408903522054,0.48549323017408125,8225,0.8725196719169617,0.4452436864376068,21.457428693771362,1d
combo_seq60_units8,8,0,0.2,0.0,0.0,60,32,0.001,adam,mse,25,10,0.017838364308317735,0.011999263363409899,-0.025697324172239133,0.5222437137330754,1289,0.9333302974700928,0.4450518488883972,50.44609022140503,1d
combo_rmsprop_seq20,32,0,0.3,0.0,0.0,20,32,0.001,rmsprop,mse,11,10,0.018375717808901435,0.01263761412636009,-0.0884231992329716,0.4700193423597679,8225,0.9579389691352844,0.44591888785362244,14.287768363952637,1d
combo_huber_seq30,16,0,0.3,0.0,0.0,30,32,0.001,adam,huber,16,10,0.01784689931596552,0.011897772348213582,-0.026679076609838148,0.4796905222437137,3089,0.3481719493865967,0.19493943452835083,22.006229400634766,1d
combo_2c_huber,32,16,0.3,0.0,0.0001,10,32,0.001,adam,huber,14,10,0.01771870257545692,0.011888144125591046,-0.01198249569340315,0.48936170212765956,11345,0.35893723368644714,0.20607492327690125,22.42990255355835,1d
combo_units32_drop05,32,0,0.5,0.2,0.0,10,32,0.001,adam,mse,13,10,0.01789100736915099,0.01209571324926196,-0.03176015814840505,0.4912959381044487,8225,0.9580462574958801,0.4250275194644928,17.571000576019287,1d
